company_name,sector,fiscal_year,label,years_to_default,sector_npa_rate,revenue,cogs,gross_profit,ebitda,depreciation,ebit,interest_expense,pbt,tax,pat,sga_expense,employee_cost,total_assets,fixed_assets,cwip,total_investments,trade_receivables,inventories,cash_equivalents,other_current_assets,total_current_assets,equity_share_capital,reserves_surplus,total_equity,lt_borrowings,st_borrowings,total_debt,trade_payables,other_current_liab,total_current_liab,cfo,cfi,cff,capex,free_cash_flow,promoter_holding_pct,promoter_pledge_pct,promoter_pledge_change,institutional_holding_pct,auditor_changes_3yr,auditor_big4,din_disqualified_count,related_party_tx_to_rev,dividend_payout_ratio,going_concern_flag,qualified_opinion_flag,emphasis_matter_flag,scope_limitation_flag,auditor_resigned_flag,auditor_distress_score,promoter_total_companies,promoter_npa_companies,promoter_struck_off_companies,network_npa_ratio,contagion_risk_score,customer_concentration,supplier_concentration,satellite_activity_score,satellite_activity_category,satellite_vs_revenue_flag,gst_vs_bank_divergence,gst_divergence_flag,gst_filing_delays_count,ewaybill_volume_consistency,gst_payment_delay_days,ceo_sentiment_overall,ceo_sentiment_revenue,ceo_sentiment_debt,ceo_deflection_score,ceo_overconfidence_score,ceo_specificity_score,debt_to_equity,debt_to_assets,lt_debt_to_assets,st_debt_to_assets,equity_to_assets,interest_coverage,current_ratio,quick_ratio,dscr,ebitda_margin,net_margin,gross_margin,roe,roa,ebitda_to_assets,ebitda_to_equity,ebitda_to_fin_exp,cfo_to_assets,cfo_to_equity,cfo_to_sales,cfo_to_debt,asset_turnover,inventory_days,receivables_days,payables_days,cash_conversion_cycle,ln_total_assets,ln_revenue,ln_net_income,revenue_growth,ebitda_growth,pat_growth,cfo_growth,total_equity_growth,total_debt_growth,total_assets_growth,trade_receivables_growth,dscr_velocity,interest_coverage_velocity,debt_to_equity_velocity,net_margin_velocity,dscr_acceleration,debt_acceleration,dscr_3yr_slope,months_to_dscr_danger,beneish_dsri,beneish_gmi,beneish_aqi,beneish_sgi,beneish_depi,beneish_sgai,beneish_lvgi,beneish_tata,beneish_m_score,beneish_manipulation_flag,altman_x1,altman_x2,altman_x3,altman_x4,altman_x5,altman_z_score,altman_zone,piotroski_roa,piotroski_cfo,piotroski_roa_change,piotroski_accrual,piotroski_leverage,piotroski_liquidity,piotroski_shares,piotroski_margin,piotroski_turnover,piotroski_f_score
Alok Industries,Textiles,2009,1,8.0,0.09,24933.35,15088.94,9844.41,3242.21,1884.98,1357.23,748.0,609.23,152.31,456.92,1147.89,4054.11,36291.73,17042.17,3448.99,874.45,2992.0,5419.2,2143.71,2803.74,13358.66,1279.04,7049.94,8328.98,9072.93,5443.76,14516.69,4934.57,3425.57,13803.91,2341.9,-624.6,907.29,624.6,1717.3,0.5029,0.2313,0.0,0.1873,0,0,1,0.0954,0.1256,0,0,0,0,0,2,4,0,0,0.0,0.3081,0.3808,0.5171,80.21,ACTIVE,0,0.0,0,0,0.883,24.7,0.466,0.2041,0.2629,0.2341,0.2681,0.3444,1.7429132976975676,0.39999994488000434,0.24999993110689403,0.15000001377311029,0.22950077055490323,1.8144786071998948,0.9677446461931623,0.5751602263000005,1.3443721207885704,0.1300350735007516,0.01832565619869269,0.39482901413589316,0.05485905836550706,0.012590196168311894,0.0893374330711339,0.3892685538458168,4.334505341798789,0.0645298529426806,0.2811748857265626,0.09392640779943624,0.16132465457612413,0.6870256667101009,131.08992413442627,43.79997072018802,119.3667712828491,55.52312357176518,10.499345170605723,10.123961543743434,6.124508320865746,,,,,,,,,,,,,,,,120.0,,,,,,,,-0.05193965677436871,-2.7230256540472713,0,-0.012268635305832247,0.1942574795912386,0.03739777629676519,0.5737520054107546,0.6870256667101009,1.411927640796614,DANGER,1,1,0,1,0,0,0,0,0,3
Alok Industries,Textiles,2010,1,7.0,0.09,13688.14,7877.05,5811.08,2381.48,921.66,1459.82,410.64,1049.18,262.29,786.88,1349.76,1615.75,26836.79,10960.28,3327.5,582.06,1642.58,3276.26,987.65,2455.58,8362.07,1001.63,6730.46,7732.09,6709.2,4025.52,10734.72,2470.58,1375.67,7871.77,1708.54,-800.93,670.92,800.93,907.61,0.518,0.2262,0.0,0.2159,0,1,0,0.0693,0.0363,0,0,0,0,0,0,5,0,1,0.0,0.2892,0.485,0.5101,71.2,ACTIVE,0,0.0,0,1,0.8339,19.8,0.5569,0.1741,-0.0684,0.1479,0.3384,0.3139,1.3883335551722322,0.40000014903421754,0.250000093146386,0.15000005588783158,0.28811530737140634,3.5549873281828672,1.0622858644164799,0.646082139004813,1.3263348575724885,0.1739812713652855,0.05748626182538415,0.4245339395692524,0.10176808597652534,0.02932094337551842,0.08873937605470925,0.3079995188483321,5.79943501412567,0.06366409693321504,0.2209674227510327,0.12481900388768533,0.15916018301742754,0.5100513138676401,151.81253132177497,43.800085326143645,114.47962116344574,81.13299548447289,10.197528986317753,9.524285043456603,6.668075759027828,-0.4510107947788805,-0.26547632633296425,0.7221395430272257,-0.2704470728895342,-0.0716642373976164,-0.2605256432423646,-0.2605260206664163,-0.4510093582887701,-0.0180372632160819,1.7405087209829724,-0.3545797425253354,0.03916060562669146,,,,120.0,1.0000026165760785,0.9300271363683285,1.725001187805599,0.5489892051991012,1.2839205146105728,2.141866884417233,0.8884613721955885,-0.034343153557696605,-2.914313142980438,0,0.018269696188766598,0.25079228923240104,0.05439622249701263,0.7202879999925208,0.5100513138676401,1.4947644884551756,DANGER,1,1,1,1,0,1,1,1,0,7
Alok Industries,Textiles,2011,1,6.0,0.09,17692.8,10112.98,7579.82,2535.57,1443.18,1092.39,530.78,561.6,140.4,421.2,829.72,2475.18,50200.29,26798.92,6673.06,1366.31,2123.14,4144.84,2726.19,3566.57,12560.74,979.33,9383.4,10362.72,12550.07,7530.04,20080.11,3138.49,4625.19,15293.72,1864.38,-985.51,1255.01,985.51,878.88,0.433,0.3018,0.0,0.1763,1,1,0,0.1525,0.0156,0,0,0,0,0,1,5,0,2,0.0,0.4852,0.6203,0.5103,82.66,ACTIVE,0,0.0,0,1,0.9457,5.1,0.2159,0.3416,0.263,0.1478,0.2409,0.4802,1.9377258092530025,0.39999988047081003,0.24999995019451082,0.1499999302762992,0.2064274927454318,2.058084324846294,0.8213005076056512,0.550284691981396,0.7737258408222011,0.14331083829900804,0.023806294084384252,0.4284126876227385,0.04064569919474369,0.008390389776465626,0.050509070763326086,0.24468189816528077,4.777063934630047,0.03713882927693966,0.17991222380032346,0.10537506781824386,0.09284710093257223,0.35244417910031106,149.59651851881478,43.80008251696735,113.27510287637519,80.12149815940693,10.823776082555565,9.780913056143614,6.04310778025982,0.2925642198282601,0.06470346171288455,-0.4647214314762098,0.0912123801608391,0.3402223719589399,0.8705760373815061,0.8705772933350076,0.2925641369065737,-0.5526090167502874,-1.4969030033365733,0.5493922540807703,-0.03367996774099989,-0.5345717535342055,1.1311016806238707,-0.2853231399831846,-4.913573456560357,0.9999999358636799,0.9909439213415082,0.7712242759651947,1.2925642197338305,1.5179583983354814,0.4755792253528617,1.0163454468069812,-0.028748439500474034,-2.3063330975252954,0,-0.05444151816544402,0.18691923890903978,0.021760631262852055,0.5160688860511188,0.35244417910031106,0.930252706572517,DANGER,1,1,0,1,1,0,1,1,0,6
Alok Industries,Textiles,2012,1,5.0,0.09,14097.33,9494.72,4602.61,3790.95,879.3,2911.65,610.88,2300.76,575.19,1725.57,1063.67,1796.41,38590.66,15818.29,5145.36,1062.85,1926.63,3238.3,1109.91,2615.33,8890.18,638.88,5956.83,6595.71,10934.02,6753.36,17687.38,1472.31,2680.03,10905.7,2487.39,-742.47,946.01,742.47,1744.93,0.3687,0.4212,0.0096,0.1563,0,1,0,0.1635,0.1227,0,0,0,0,0,0,2,0,0,0.0762,0.449,0.4892,0.5383,83.88,ACTIVE,0,0.0714,0,0,0.7515,7.3,0.203,0.0405,0.0249,0.3207,0.1276,0.3869,2.681649132135638,0.4583331821622555,0.2833333246883227,0.1749998574739328,0.1709146720949858,4.766320709850837,0.8151865537457305,0.5182500893552683,1.2272733434670777,0.26891262386076564,0.12240402969055814,0.32648806544739406,0.2616200529948072,0.04471470557785964,0.09823490968803758,0.5747599575216679,6.205719607442182,0.0644557517268568,0.37712240223158344,0.17644405003100275,0.14063077741640473,0.36530419535801395,124.48808389036348,49.88320128351374,56.59915720983882,117.7721279640384,10.560765557261805,9.553740696732941,7.45331270966652,-0.20321656266956045,0.4951076089400015,3.096794871794872,0.33416470891127337,-0.36351556348140257,-0.11915920779318434,-0.23126619388055325,-0.09255630810968651,0.45354750264487664,2.7082363850045432,0.7439233228826356,0.09859773560617388,1.006156519395164,-0.9897352451746905,-0.04953075705270523,120.0,1.138883728453934,1.3121808138832356,1.6658100235047846,0.7967834372854051,0.9703764208047939,1.6089222362176125,1.051483007148155,-0.019741046148997164,-2.317022059043,0,-0.052228181636379684,0.1543593708904082,0.07544960360679372,0.37290486208964213,0.36530419535801395,0.9914601057971343,DANGER,1,1,1,1,0,0,1,0,1,6
Alok Industries,Textiles,2013,1,4.0,0.09,14140.89,8038.27,6102.62,1210.36,861.85,348.51,801.32,-452.81,0.0,-452.81,625.88,2193.5,25999.27,15296.54,3038.2,270.53,2168.27,2944.52,651.24,1966.06,7730.08,756.13,6048.92,6805.06,8233.1,5199.85,13432.96,2280.32,2890.05,10370.23,173.36,-692.32,599.43,692.32,-518.97,0.3028,0.5089,0.0126,0.0633,1,0,0,0.1792,0.0109,0,0,0,0,0,1,6,0,1,0.185,0.5757,0.4472,0.4133,70.42,MODERATE,0,0.0423,1,2,0.7129,21.0,0.2692,0.0435,-0.2108,0.4245,0.2105,0.486,1.9739664305716675,0.5166668140868313,0.3166665833188137,0.199999846141834,0.2617404257788107,0.43491988165162493,0.7454106610224257,0.4614709605802888,0.25375395032457854,0.0855929152913577,-0.03202132255946964,0.43155840965939496,-0.06654019214135655,-0.017416258225041847,0.04655361477277809,0.17786176754093835,1.5104577428362478,0.006667879520976248,0.025475161126356685,0.012259482959540774,0.012905569583107108,0.5438956555109472,133.70411790923865,55.96667182504307,103.54427008503767,86.12651964924406,10.165823739686378,9.556825879478286,6.115472611450762,0.003089946819716971,-0.68072382911935,-1.2624118407250937,-0.9303044556744218,0.031740328183015976,-0.24053421139818343,-0.3262807632727712,0.12542107202732233,-0.9735193931424992,-4.331400828199212,-0.7076827015639706,-0.1544253522500278,-1.4270668957873758,-0.12137500360499909,-0.2599859452488113,-9.198525946846061,1.1219542929282669,0.7565309853979835,0.31783786816191,1.0030899467485623,0.9873012350503992,0.5866030079214842,1.2356477700263204,-0.024084137746018097,-2.8892935356226537,0,-0.10154708189493214,0.232657301522979,0.013404607128838439,0.5065942278912025,0.5438956555109472,1.0959511196290874,DANGER,0,1,0,1,0,0,0,1,1,4
Alok Industries,Textiles,2014,1,3.0,0.09,21068.08,15006.47,6061.61,1481.94,1456.01,25.93,1474.77,-1448.84,0.0,-1448.84,1602.53,2467.44,51387.76,24404.59,3426.85,1224.83,3581.57,3707.32,513.88,4799.92,12602.69,752.0,1546.23,2298.23,17985.72,11562.25,29547.96,3467.43,4860.42,19890.09,-519.52,-708.4,1059.87,708.4,-1227.92,0.2715,0.4524,0.0443,0.1122,0,0,2,0.2112,0.0532,0,0,0,0,0,2,7,1,2,0.291,0.5153,0.3675,0.2608,49.7,MODERATE,0,0.082,1,4,0.4566,13.0,0.0951,-0.098,-0.1158,0.4241,0.1806,0.2896,12.856833296555683,0.5749999610690366,0.35000007783273684,0.2250000778351693,0.04472329597466939,0.01758240266781776,0.6336165396620319,0.4472262317341337,0.0020221362145863703,0.07034053411272691,-0.06876943698387468,0.2877153494628976,-0.6304155804117013,-0.028194262602063324,0.028838384859958124,0.6448179683300549,1.004861774375081,-0.010109800465906475,-0.22605222269918493,-0.024659105147471473,-0.017582262869667405,0.40998245495795144,90.17255889691764,62.04993762782133,84.33775231054753,67.88474421419144,10.847155290789539,9.955514377824095,7.278518515243851,0.4898694495183826,0.2243795234475694,2.199664318367527,-3.9967697277341943,-0.662276306160416,1.1996611320215353,0.9765078019498241,0.6518099683157541,-0.2517318141099922,-0.4173374789838072,10.882866865984015,-0.03674811442440504,0.721787579032507,1.4401953434197188,-0.6126256036262455,-12.0,1.1086944355346893,1.499943991591088,2.447525766564351,1.4898694494130238,0.9473442838304313,1.7185686284721746,1.0508171735140859,-0.01808446213615685,-1.3251503587104745,1,-0.1418119801263606,0.03008946099168188,0.0005045948684958326,0.07777965043685657,0.40998245495795144,0.33026627752282356,DANGER,0,0,0,1,0,0,1,0,0,2
Alok Industries,Textiles,2015,1,2.0,0.09,14634.32,8153.01,6481.31,1181.23,649.91,531.31,1219.53,-688.21,0.0,-688.21,718.47,2058.87,43132.26,23925.8,6384.05,857.31,2731.74,2665.26,802.35,2160.94,8360.29,1516.38,3072.62,4589.0,16534.03,10783.07,27317.1,2673.42,4297.31,17753.79,-526.11,-396.4,742.83,396.4,-922.51,0.3856,0.586,0.0375,0.097,1,1,0,0.2777,0.0833,0,0,1,0,0,5,6,0,2,0.3601,0.6537,0.6062,0.4672,35.03,LOW,1,0.172,1,4,0.4711,31.0,-0.1089,0.1523,-0.2029,0.5778,0.208,0.3813,5.952734799312979,0.6333333796876552,0.3833332637709377,0.25000011591671756,0.10639368305517972,0.4356678388923045,0.47090170603173176,0.3207782676081683,-0.011683768283210976,0.08071642549290187,-0.047027125274899884,0.4428842610765048,-0.1499694922314296,-0.015955806627893927,0.02738623016676181,0.25740466326925154,0.9685944577266696,-0.012197598734399783,-0.11464589232629202,-0.03595042338585255,-0.01925936501241862,0.3392894320784654,119.32033689161177,68.13333997970979,119.68564982507249,67.76802704624907,10.672026487990843,9.591124734090235,6.534094023917503,-0.30537951251371753,-0.20291644735954228,-0.5249924077192788,0.01268478595626732,0.9967540237487109,-0.07549962840074242,-0.16065109668138866,-0.23727862362036767,-0.013705904497797346,0.41808543622448674,-6.904098497242704,0.021742311708974796,0.23802590961219483,-1.2751607604222777,-0.13271885930389477,-12.0,1.0980404265412322,0.649638574026055,0.8985845465304141,0.6946204874533122,2.1290144794331356,0.6454385216567341,1.0861550427682578,-0.003758207893494146,-2.7431001231986945,0,-0.21778362644995222,0.0712371667964712,0.012318158148626614,0.16799001357508703,0.3392894320784654,0.31912504388910246,DANGER,0,0,1,1,0,0,0,1,0,3
Alok Industries,Textiles,2016,1,1.0,0.09,3906.44,2996.75,909.69,269.57,311.38,-41.82,377.62,-419.44,0.0,-419.44,361.84,420.24,5734.0,2824.2,849.2,143.43,794.31,714.27,172.86,431.91,2113.34,106.5,89.71,196.21,2389.17,1576.85,3966.02,688.24,441.85,2706.94,-270.82,-158.02,73.67,158.02,-428.84,0.3644,0.6277,0.0398,0.2231,1,1,0,0.4422,0.0,0,1,1,1,0,6,7,1,2,0.0962,0.8248,0.4493,0.5069,39.06,DORMANT,1,0.3931,1,6,0.528,40.9,-0.2462,-0.1969,-0.5398,0.6776,0.1377,0.1,20.213138880724024,0.6916672478737936,0.4166672479217532,0.27499999995204044,0.03421869549455551,-0.11074625255350286,0.7807117997514863,0.5168455892938723,-0.22705382174267524,0.06900656350308552,-0.10737141742676928,0.23286931317699255,-2.137709585965498,-0.0731496337507587,0.047012556671256964,1.373885116080296,0.713865789116398,-0.047230554578439034,-1.3802558412911887,-0.06932654793896065,-0.0682850817524155,0.6812765956258673,86.99709682589568,74.21671647991093,83.82667887417146,77.38713443163515,8.654168646443315,8.270381752301825,6.038920488264277,-0.733063100984535,-0.771788728698052,-0.3905348658113076,-0.485240729125088,-0.9572434081499237,-0.8548154818776517,-0.8670600613090991,-0.7092292824353709,-0.21537005345946428,-0.5464140914458073,14.260404081411046,-0.0603442921518694,-0.20166414896166693,-0.7793158534769092,-0.11453797897863084,-12.0,1.0892863391404675,1.901849381461911,0.5523703537117031,0.26693689899722456,0.2663019320469449,1.8866846886256043,1.1136955842140253,-0.025919079172319656,-3.1517536295173034,0,-0.10352284616262243,0.015645273802642957,-0.007293337982683407,0.04947277117879568,0.6812765956258673,0.5845682109188427,DANGER,0,0,0,1,0,1,1,0,1,4
Alok Industries,Textiles,2017,1,0.0,0.09,27430.12,20349.12,7081.0,2130.12,1501.28,628.84,3017.31,-2388.47,0.0,-2388.47,2311.6,2233.68,69476.57,29775.58,8708.39,3045.63,6034.63,6033.53,694.77,5972.69,18735.61,1973.7,694.77,2668.46,31264.46,20842.97,52107.43,4080.58,3851.47,28775.02,-2258.7,-995.76,521.07,995.76,-3254.46,0.3221,0.5665,0.0705,0.1198,0,1,1,0.1289,0.0433,1,0,0,1,1,6,5,1,1,0.4551,0.8001,0.445,0.5522,20.03,DORMANT,1,0.217,1,7,0.2331,11.1,-0.1667,-0.0631,-0.5804,0.6439,0.0771,0.1,19.527154231456663,0.7500000359725588,0.45000005037021834,0.2999999856023405,0.03840805612541886,0.2084108029309515,0.6511067585478271,0.441427321321013,-0.14188475614356005,0.07765624065524845,-0.08707471931996379,0.2581468837811083,-0.8950743121893997,-0.03437806443187425,0.03065954464892755,0.7982581710806015,0.7059665726405419,-0.03251024050219361,-0.8464432665858048,-0.08234378850393859,-0.04334698525635697,0.3948110852277996,108.22278555002758,80.30004790061801,73.19292922380953,115.32990422683605,11.148744852412227,10.219396958694228,7.778408272566921,6.021769181147029,6.901917869199095,4.694425901201602,7.340225980355955,12.600020386320779,12.138468792391365,11.11659748866411,6.597323463131524,0.08516906559911519,0.31915705548445433,-0.6859846492673611,0.020296698106805497,0.30053911905857944,12.993284274269016,-0.06510049393017456,120.0,1.0819671323286544,0.902077172844267,2.1724758680139136,7.021769179349543,2.068875114229617,0.9098076031825124,1.0003563248168836,-0.0018678239296806413,3.518382531668467,1,-0.14450065683806065,0.010000061891224623,0.009051108884490828,0.05121073904333392,0.3948110852277996,0.2960054864146614,DANGER,0,0,1,1,0,0,0,1,0,3
Amtek Auto,Auto,2009,1,7.0,0.07,27434.72,17022.58,10412.15,3196.06,1466.11,1729.95,823.04,906.91,226.73,680.18,1503.74,2739.75,60335.56,31229.59,5590.09,1018.05,3292.17,5487.07,1502.02,2731.23,13012.49,1541.11,8615.85,10156.96,15083.89,9050.33,24134.23,3520.66,4707.5,17278.48,2146.29,-1439.63,1508.39,1439.63,706.66,0.3042,0.3123,0.0,0.1838,1,1,0,0.0808,0.1329,0,0,0,0,0,2,6,0,1,0.0,0.4448,0.3585,0.5076,75.21,ACTIVE,0,0.0,0,2,0.5246,10.8,0.559,0.2025,-0.0117,0.1276,0.3577,0.5,2.376127305574096,0.40000009943721415,0.2499999999958565,0.1499999337016181,0.16834119049912952,2.1019026996234658,0.7531038609441858,0.43553715370590834,0.7410947021646935,0.11649690610596729,0.024792671475240398,0.37952455864759965,0.06696688772359378,0.011273285604521226,0.052971415197721354,0.3146669869414995,3.8832377480034537,0.035572554559275285,0.2113122430125439,0.07823261910169914,0.08893136428678555,0.4547023347350269,117.65434792389551,43.8000478939169,75.49037219531408,85.96402362249833,11.007676926976188,10.219564643499679,6.522357469024085,,,,,,,,,,,,,,,,120.0,,,,,,,,-0.02429926895475406,-2.5936962794392944,0,-0.07070440715109456,0.14279887349777148,0.028672146242967298,0.42085287160929297,0.4547023347350269,0.9169052746179613,DANGER,1,1,0,1,0,0,0,0,0,3
