SUZLON ENERGY LTD												SCREENER.IN	
													
Narration	Mar-16	Mar-17	Mar-18	Mar-19	Mar-20	Mar-21	Mar-22	Mar-23	Mar-24	Mar-25	Trailing	Best Case	Worst Case
Sales	 9,483.48 	 12,714.37 	 8,116.20 	 5,024.69 	 2,972.85 	 3,345.72 	 6,581.78 	 5,970.53 	 6,529.09 	 10,889.74 	 15,028.53 	 18,162.78 	 11,122.41 
Expenses	 9,766.52 	 10,235.11 	 7,139.50 	 5,048.15 	 3,828.61 	 2,809.03 	 5,681.80 	 5,137.33 	 5,491.90 	 9,026.30 	 12,276.67 	 14,837.01 	 9,782.90 
Operating Profit	 -283.04 	 2,479.26 	 976.70 	 -23.46 	 -855.76 	 536.69 	 899.98 	 833.20 	 1,037.19 	 1,863.44 	 2,751.86 	 3,325.77 	 1,339.51 
Other Income	 2,562.79 	 108.95 	 555.15 	 92.23 	 -42.29 	 822.92 	 94.78 	 2,738.95 	 -23.78 	 97.18 	 117.79 	 -   	 -   
Depreciation	 391.76 	 389.03 	 341.61 	 341.85 	 418.61 	 258.38 	 259.84 	 259.68 	 189.60 	 259.19 	 318.22 	 318.22 	 318.22 
Interest	 1,304.02 	 1,287.59 	 1,580.98 	 1,269.91 	 1,367.29 	 996.26 	 734.52 	 420.76 	 164.32 	 254.80 	 411.71 	 411.71 	 411.71 
Profit before tax	 583.97 	 911.59 	 -390.74 	 -1,542.99 	 -2,683.95 	 104.97 	 0.40 	 2,891.71 	 659.49 	 1,446.63 	 2,139.72 	 2,595.84 	 609.58 
Tax	 -23.61 	 11.70 	 -1.56 	 -11.90 	 7.44 	 4.63 	 166.59 	 4.42 	 -0.86 	 -625.00 	 -1,090.30 	-51%	-51%
Net profit	 583.10 	 857.71 	 -376.98 	 -1,527.18 	 -2,642.23 	 104.18 	 -199.59 	 2,849.01 	 660.35 	 2,071.63 	 3,231.26 	 3,918.56 	 920.19 
EPS	 0.94 	 1.38 	 -0.57 	 -2.32 	 -4.01 	 0.10 	 -0.17 	 2.28 	 0.49 	 1.53 	 2.38 	 2.88 	 0.68 
Price to earning	 13.90 	 12.72 	 -17.17 	 -2.44 	 -0.45 	 46.41 	 -48.03 	 3.46 	 82.54 	 37.03 	 18.21 	 35.31 	 18.21 
Price	 13.04 	 17.54 	 9.83 	 5.65 	 1.79 	 4.59 	 8.40 	 7.90 	 40.40 	 56.66 	 43.27 	 101.75 	 12.32 
													
RATIOS:													
Dividend Payout	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%			
OPM	0.00%	19.50%	12.03%	0.00%	0.00%	16.04%	13.67%	13.96%	15.89%	17.11%	18.31%		
													
													
						TRENDS:	10 YEARS	7 YEARS	5 YEARS	3 YEARS	RECENT	BEST	WORST
						Sales Growth	1.55%	4.29%	29.65%	18.27%	66.79%	66.79%	1.55%
						OPM	12.04%	12.52%	15.52%	15.96%	18.31%	18.31%	12.04%
						Price to Earning	 30.61 	 37.53 	 37.53 	 35.31 	 18.21 	 35.31 	 18.21 




















SUZLON ENERGY LTD									SCREENER.IN	
										
Narration	Sep-23	Dec-23	Mar-24	Jun-24	Sep-24	Dec-24	Mar-25	Jun-25	Sep-25	Dec-25
Sales	 1,421.43 	 1,560.47 	 2,196.21 	 2,021.59 	 2,103.38 	 2,974.83 	 3,789.94 	 3,131.72 	 3,870.78 	 4,236.09 
Expenses	 1,196.39 	 1,312.84 	 1,838.80 	 1,651.51 	 1,809.20 	 2,475.32 	 3,096.48 	 2,532.65 	 3,149.94 	 3,497.60 
Operating Profit	 225.04 	 247.63 	 357.41 	 370.08 	 294.18 	 499.51 	 693.46 	 599.07 	 720.84 	 738.49 
Other Income	 -27.73 	 9.24 	 -15.85 	 22.76 	 17.85 	 27.53 	 35.25 	 33.47 	 26.55 	 22.52 
Depreciation	 51.17 	 39.46 	 44.38 	 45.84 	 54.42 	 66.18 	 92.75 	 70.24 	 75.23 	 80.00 
Interest	 43.70 	 14.28 	 44.31 	 44.52 	 56.03 	 69.53 	 84.72 	 103.07 	 109.66 	 114.26 
Profit before tax	 102.44 	 203.13 	 252.87 	 302.48 	 201.58 	 391.33 	 551.24 	 459.23 	 562.50 	 566.75 
Tax	 0.15 	 0.09 	 -1.25 	 0.19 	 0.98 	 3.57 	 -629.74 	 134.91 	 -716.94 	 121.47 
Net profit	 102.29 	 203.04 	 254.12 	 302.29 	 200.20 	 386.92 	 1,182.22 	 324.32 	 1,279.44 	 445.28 
										
OPM	16%	16%	16%	18%	14%	17%	18%	19%	19%	17%



SUZLON ENERGY LTD									SCREENER.IN	
										
Narration	Mar-16	Mar-17	Mar-18	Mar-19	Mar-20	Mar-21	Mar-22	Mar-23	Mar-24	Mar-25
Equity Share Capital	 1,004.10 	 1,004.88 	 1,063.95 	 1,063.95 	 1,063.95 	 1,701.60 	 1,843.49 	 2,454.40 	 2,721.72 	 2,731.79 
Reserves	 -8,537.27 	 -7,846.21 	 -8,030.80 	 -9,561.56 	 -12,046.89 	 -5,044.63 	 -5,369.22 	 -1,355.26 	 1,198.59 	 3,373.93 
Borrowings	 11,414.32 	 11,114.29 	 11,995.52 	 11,552.03 	 13,209.80 	 6,925.22 	 6,465.22 	 1,937.92 	 150.24 	 323.17 
Other Liabilities	 5,842.07 	 7,887.14 	 6,091.90 	 5,816.49 	 4,303.49 	 3,018.90 	 3,535.37 	 2,486.32 	 3,108.47 	 6,530.70 
Total	 9,723.22 	 12,160.10 	 11,120.57 	 8,870.91 	 6,530.35 	 6,601.09 	 6,474.86 	 5,523.38 	 7,179.02 	 12,959.59 
										
Net Block	 1,573.08 	 1,665.29 	 1,462.86 	 1,519.75 	 1,358.23 	 1,166.04 	 1,059.30 	 866.14 	 886.46 	 1,779.56 
Capital Work in Progress	 232.51 	 205.99 	 353.24 	 228.74 	 122.38 	 107.45 	 19.63 	 6.00 	 19.72 	 105.10 
Investments	 393.35 	 669.65 	 66.99 	 20.43 	 19.74 	 23.00 	 0.03 	 0.03 	 8.38 	 42.94 
Other Assets	 7,524.28 	 9,619.17 	 9,237.48 	 7,101.99 	 5,030.00 	 5,304.60 	 5,395.90 	 4,651.21 	 6,264.46 	 11,031.99 
Total	 9,723.22 	 12,160.10 	 11,120.57 	 8,870.91 	 6,530.35 	 6,601.09 	 6,474.86 	 5,523.38 	 7,179.02 	 12,959.59 
										
